Date,Day,T,TM,Tm,H,HI-C,DeathDate,F,M,Total
01-03-2006,1,27.6,34.5,20.3,51,39.88022217,01-03-2006,31,58,89
02-03-2006,2,28.8,35,20,55,42.74834206,02-03-2006,40,53,93
03-03-2006,3,27.9,33.1,21,60,39.77409977,03-03-2006,39,52,91
04-03-2006,4,27.6,32.5,20.5,65,40.00452776,04-03-2006,21,53,74
05-03-2006,5,26.3,34.2,22,71,47.99228018,05-03-2006,29,56,85
06-03-2006,6,27,33.2,20.4,63,41.17831339,06-03-2006,31,48,79
07-03-2006,7,25.6,33.3,21.8,76,47.28397447,07-03-2006,29,50,79
08-03-2006,8,27.1,33.1,19.9,57,38.71232839,08-03-2006,34,51,85
09-03-2006,9,26.9,32,20,59,36.77512633,09-03-2006,29,44,73
10-03-2006,10,21.4,26.7,17.9,85,29.48056155,10-03-2006,29,75,104
11-03-2006,11,23.8,29.8,16.8,60,32.45510737,11-03-2006,33,45,78
12-03-2006,12,25.8,31.5,16.5,53,34.14722343,12-03-2006,33,66,99
13-03-2006,13,26.9,31.4,17.7,54,34.1933344,13-03-2006,28,49,77
14-03-2006,14,27.9,32.6,20.5,61,38.85398835,14-03-2006,33,55,88
15-03-2006,15,27.7,33.7,21.1,51,38.0686808,15-03-2006,21,42,63
16-03-2006,16,27.9,34.3,21.8,47,38.03724928,16-03-2006,32,51,83
17-03-2006,17,28.1,35,21,53,41.89170688,17-03-2006,35,63,98
18-03-2006,18,27.9,33.3,22.6,53,37.83985393,18-03-2006,28,57,85
19-03-2006,19,26.8,33,21.4,63,40.62756844,19-03-2006,33,64,97
20-03-2006,20,28.6,34.5,21,46,38.12499418,20-03-2006,45,54,99
21-03-2006,21,31,37.5,20.1,40,42.30050629,21-03-2006,26,54,80
22-03-2006,22,30.3,37,21.9,36,39.69669687,22-03-2006,31,54,85
23-03-2006,23,29.8,36.2,20,30,36.47199598,23-03-2006,33,53,86
24-03-2006,24,29.8,37,18.7,33,38.67506769,24-03-2006,41,66,107
25-03-2006,25,31.2,38,19,38,42.53186433,25-03-2006,38,47,85
26-03-2006,26,32.3,39,21.2,42,46.83457587,26-03-2006,35,67,102
27-03-2006,27,32.3,38,24.4,40,43.42298232,27-03-2006,32,59,91
28-03-2006,28,31.7,37.7,23.9,44,44.59942457,28-03-2006,41,57,98
29-03-2006,29,29.7,34.9,22.6,54,42.05599382,29-03-2006,28,54,82
30-03-2006,30,30.9,36.6,22,52,45.6930703,30-03-2006,28,39,67
31-03-2006,31,31.4,38.1,22.3,42,44.60244969,31-03-2006,27,53,80
01-04-2006,1,33.4,38.1,23.5,38,42.74908121,01-04-2006,34,63,97
02-04-2006,2,32.2,38,25.8,40,43.42298232,02-04-2006,42,56,98
03-04-2006,3,31.9,38,25.1,45,45.85973585,03-04-2006,36,71,107
04-04-2006,4,33.2,39,24.4,35,43.34578421,04-04-2006,35,56,91
05-04-2006,5,33.6,39,23.4,33,42.46454462,05-04-2006,34,58,92
06-04-2006,6,33.9,40.1,23,29,42.88649704,06-04-2006,45,57,102
07-04-2006,7,33.6,40.8,23.2,38,49.11717087,07-04-2006,34,52,86
08-04-2006,8,33.5,40.2,24.8,40,48.78023095,08-04-2006,35,60,95
09-04-2006,9,33.7,40.5,24.6,43,51.47266478,09-04-2006,32,66,98
10-04-2006,10,31.4,38.4,23.8,55,52.94680007,10-04-2006,38,64,102
11-04-2006,11,31,38.6,23.6,55,53.61763053,11-04-2006,34,58,92
12-04-2006,12,33.4,40.1,24.1,42,49.7261153,12-04-2006,29,44,73
13-04-2006,13,30.4,37,19.9,57,49.62687194,13-04-2006,35,67,102
14-04-2006,14,31.4,37,23.8,50,45.77649703,14-04-2006,32,64,96
15-04-2006,15,31.5,37.2,22.8,44,43.38218793,15-04-2006,27,46,73
16-04-2006,16,27.2,33.9,21.2,69,45.94777165,16-04-2006,22,61,83
17-04-2006,17,26.2,29.2,19.2,69,32.97473893,17-04-2006,31,58,89
18-04-2006,18,29.4,33.7,21,53,38.74390812,18-04-2006,31,62,93
19-04-2006,19,30.5,35,21.8,54,42.31544614,19-04-2006,25,44,69
20-04-2006,20,31.8,36,21.8,41,39.49815016,20-04-2006,26,68,94
21-04-2006,21,32,37,23.3,44,42.90622355,21-04-2006,32,57,89
22-04-2006,22,32.5,37.4,22.6,43,43.40126681,22-04-2006,34,57,91
23-04-2006,23,32.3,38.3,23,46,47.18404056,23-04-2006,29,56,85
24-04-2006,24,34,39,24.2,41,46.29765772,24-04-2006,33,64,97
25-04-2006,25,34.7,39.2,25.7,39,45.7369586,25-04-2006,55,66,121
26-04-2006,26,34.6,39.1,25.4,42,47.09001649,26-04-2006,40,74,114
27-04-2006,27,32.4,40.2,24.6,36,46.51170419,27-04-2006,34,65,99
28-04-2006,28,32.2,40.6,23.6,33,45.82316896,28-04-2006,36,44,80
29-04-2006,29,33.4,40.6,24.6,37,48.0258784,29-04-2006,37,64,101
30-04-2006,30,33.6,40.7,25.1,35,47.12823758,30-04-2006,38,64,102
01-05-2006,1,33.8,41.6,21.5,37,50.53608087,01-05-2006,41,72,113
02-05-2006,2,30.4,36.8,26,59,50.16269054,02-05-2006,36,63,99
03-05-2006,3,30.4,37.4,24.8,54,49.12238394,03-05-2006,40,78,118
04-05-2006,4,31.5,37.6,22.4,45,44.83946371,04-05-2006,28,64,92
05-05-2006,5,32.2,38.3,24.8,47,47.73856003,05-05-2006,34,78,112
06-05-2006,6,31.2,39.4,25.2,47,50.87614956,06-05-2006,24,51,75
07-05-2006,7,33.1,39.8,25.4,43,49.52211996,07-05-2006,34,71,105
08-05-2006,8,31.7,41,24.4,50,58.12239734,08-05-2006,31,69,100
09-05-2006,9,33.3,40,21.2,48,53.35757071,09-05-2006,28,57,85
10-05-2006,10,37,40.4,27.6,36,46.9802591,10-05-2006,36,69,105
11-05-2006,11,34.2,41,23.8,28,44.15389074,11-05-2006,43,68,111
12-05-2006,12,34.9,41,25.4,29,44.63557136,12-05-2006,39,63,102
13-05-2006,13,34.6,42,25.8,34,49.62123552,13-05-2006,39,82,121
14-05-2006,14,34.9,41.2,28,36,48.90461632,14-05-2006,42,73,115
15-05-2006,15,36.5,41.2,28.5,30,45.54349457,15-05-2006,34,80,114
16-05-2006,16,35.6,41.9,27.4,30,47.01627644,16-05-2006,49,81,130
17-05-2006,17,34.3,41,27.4,43,52.91161504,17-05-2006,44,86,130
18-05-2006,18,33.7,38.5,27.4,43,46.09773007,18-05-2006,53,82,135
19-05-2006,19,32.6,37.2,24.4,42,42.49063443,19-05-2006,40,65,105
20-05-2006,20,32.8,37.6,27.2,41,42.96248666,20-05-2006,33,76,109
21-05-2006,21,33.4,38,27.2,39,42.97145308,21-05-2006,32,67,99
22-05-2006,22,33.2,39,27.2,40,45.77357935,22-05-2006,43,72,115
