Date,Day,T,TM,Tm,H,HI-C,HI-F,DeathDate,Male,Female,Total
01-03-2006,1,21.9,29.6,11.8,34,28.68,83.63,01-03-2006,22,25,47
02-03-2006,2,23.6,30.9,14.3,26,29.31,84.76,02-03-2006,22,18,40
03-03-2006,3,24.9,33,15.4,27,31.61,88.89,03-03-2006,30,14,44
04-03-2006,4,25.9,32.6,19.4,33,31.94,89.49,04-03-2006,32,13,45
05-03-2006,5,24.8,32.4,18.6,39,32.67,90.81,05-03-2006,30,15,45
06-03-2006,6,25.7,33,16.9,34,32.63,90.73,06-03-2006,30,11,41
07-03-2006,7,23.6,33,15.5,38,33.37,92.06,07-03-2006,31,17,48
08-03-2006,8,24.7,33.8,19.4,41,35.34,95.61,08-03-2006,29,12,41
09-03-2006,9,19.3,33.8,9,75,48.63,119.54,09-03-2006,30,17,47
10-03-2006,10,17.9,28.3,15,85,33.76,92.76,10-03-2006,25,15,40
11-03-2006,11,19.6,28,14,75,31.36,88.44,11-03-2006,29,16,45
12-03-2006,12,21.7,28,14.1,58,29.23,84.62,12-03-2006,23,17,40
13-03-2006,13,22.6,30.2,15.4,55,32.23,90.01,13-03-2006,28,25,53
14-03-2006,14,19.9,30.2,17,76,37.13,98.84,14-03-2006,32,21,53
15-03-2006,15,20.8,28,15.6,63,29.79,85.63,15-03-2006,28,16,44
16-03-2006,16,20.5,28.4,16,61,30.19,86.34,16-03-2006,33,8,41
17-03-2006,17,21.9,29,13.6,42,28.79,83.82,17-03-2006,29,18,47
18-03-2006,18,23.9,30,14.4,33,28.99,84.18,18-03-2006,26,16,42
19-03-2006,19,24.3,32,15,32,31.06,87.90,19-03-2006,25,19,44
20-03-2006,20,28.3,35,19.7,28,34.27,93.69,20-03-2006,36,20,56
21-03-2006,21,24.1,34.8,17.8,42,37.45,99.41,21-03-2006,30,20,50
22-03-2006,22,25,31.8,15,35,31.22,88.19,22-03-2006,34,14,48
23-03-2006,23,25.1,34,17,39,35.18,95.32,23-03-2006,28,14,42
24-03-2006,24,27,36.6,18,34,38.28,100.91,24-03-2006,35,19,54
25-03-2006,25,27.3,36.6,19.6,35,38.60,101.49,25-03-2006,38,16,54
26-03-2006,26,24.9,33.4,20.3,32,32.83,91.09,26-03-2006,21,14,35
27-03-2006,27,24.7,31,16.8,33,30.03,86.06,27-03-2006,25,16,41
28-03-2006,28,24.5,31.8,17.4,35,31.22,88.19,28-03-2006,24,17,41
29-03-2006,29,25.7,32,15.2,35,31.47,88.64,29-03-2006,20,16,36
30-03-2006,30,25.7,34.1,15.9,35,34.41,93.93,30-03-2006,29,15,44
31-03-2006,31,27.3,36,18,27,35.46,95.84,31-03-2006,28,21,49
01-04-2006,1,27.8,36,19.8,21,34.34,93.81,01-04-2006,37,19,56
02-04-2006,2,31.5,37.5,20,21,36.23,97.21,02-04-2006,31,19,50
03-04-2006,3,29,37.5,19.8,28,37.98,100.37,03-04-2006,34,15,49
04-04-2006,4,30.1,37.1,21,25,36.58,97.84,04-04-2006,37,16,53
05-04-2006,5,29,38.8,20.2,28,40.14,104.25,05-04-2006,35,16,51
06-04-2006,6,30.4,40,21.8,27,41.86,107.35,06-04-2006,29,12,41
07-04-2006,7,31.9,40.3,23,21,40.13,104.24,07-04-2006,23,21,44
08-04-2006,8,31.2,40.6,22.6,29,43.85,110.93,08-04-2006,29,14,43
09-04-2006,9,32.9,40.6,25,21,40.58,105.05,09-04-2006,29,16,45
10-04-2006,10,30.3,40.2,25.6,17,38.77,101.79,10-04-2006,24,21,45
11-04-2006,11,29.2,36.2,23,22,34.75,94.55,11-04-2006,24,19,43
12-04-2006,12,29.4,36.2,22.4,12,33.30,91.93,12-04-2006,46,16,62
13-04-2006,13,30.1,35.7,23,10,32.24,90.02,13-04-2006,33,15,48
14-04-2006,14,30.3,37.1,22.2,11,33.87,92.97,14-04-2006,28,17,45
15-04-2006,15,29.4,38,19.8,17,36.06,96.91,15-04-2006,25,17,42
16-04-2006,16,29.7,37.8,22.2,19,36.20,97.16,16-04-2006,25,19,44
17-04-2006,17,25.3,37.6,21,40,42.52,108.54,17-04-2006,39,5,44
18-04-2006,18,27.9,34.8,18.6,27,33.82,92.88,18-04-2006,25,19,44
19-04-2006,19,30.7,38.2,22.4,25,38.21,100.77,19-04-2006,28,15,43
20-04-2006,20,29.8,38.8,24.5,30,40.87,105.57,20-04-2006,26,16,42
21-04-2006,21,31.6,38.8,21,29,40.50,104.90,21-04-2006,32,9,41
22-04-2006,22,30.6,38.6,21.4,30,40.51,104.92,22-04-2006,28,22,50
23-04-2006,23,32.2,39.1,23,28,40.66,105.19,23-04-2006,13,22,35
24-04-2006,24,32.7,40.3,24,28,42.83,109.09,24-04-2006,38,13,51
25-04-2006,25,33.2,41.4,24,26,43.97,111.14,25-04-2006,37,21,58
26-04-2006,26,32.7,41.4,25,24,43.06,109.50,26-04-2006,28,22,50
27-04-2006,27,32.2,41.7,28,28,45.53,113.95,27-04-2006,38,16,54
28-04-2006,28,34.4,42.1,26.8,25,44.77,112.59,28-04-2006,32,17,49
